"JD" "VW1" "VW1_max" "TA1"
218.12 8.88 98.22 -1.92
218.15 8.42 107.94 .54
218.18 6.62 114.72 1.43
218.21 5.14 110.56 1.23
219 5.14 96.17 -.29
219.03 7.28 93.83 -1.97
219.06 8.16 95.39 -2.25
219.09 10.15 91.94 -2.81
219.12 11.54 93.89 -1.74
219.15 11.29 101.50 .40
219.18 9.38 108.17 1.62
219.21 8.48 116.11 1.79
220 8.80 110.89 1.25
220.03 10.24 106.56 -.38
220.06 11.26 113.00 -.95
220.09 11.47 119.06 -.67
220.12 11.22 122.56 .72
220.15 11.57 119.61 2.04
220.18 11.32 116.50 2.03
220.21 10.30 117.00 1.76
221 10.29 115.17 .88
221.03 9.88 112.11 -.30
221.06 11.08 109.94 -.94
221.09 11.72 109.94 -1.64
221.12 12.10 115.39 -1.04
221.15 10.48 123.28 .17
221.18 6.85 138.28 .78
221.21 5.05 129.00 .77
222 5.00 125.67 .73
222.03 4.52 122.72 .00
222.06 4.23 125.78 -.03
222.09 3.60 136.83 .39
222.12 2.87 135.78 .17
222.15 1.34 145.50 1.05
222.18 .99 185.39 1.59
222.21 1.57 224.56 .10
223 2.09 179.39 -.53
223.03 4.33 149.39 -.86
223.06 6.46 143.89 -.68
223.09 7.05 135.94 -.29
223.12 8.83 133.33 -.26
223.15 8.66 127.06 .41
223.18 7.69 125.17 1.10
223.21 8.29 136.33 .89
224 7.50 137.61 .18
224.03 6.72 135.89 .08
224.06 5.50 150.17 -.45
224.09 4.25 155.94 -.97
224.12 4.23 168.56 -1.19
224.15 4.63 174.33 -1.29
224.18 5.14 175.78 -1.71
224.21 5.69 178.39 -2.46
225 6.74 168.17 -3.61
225.03 6.29 170.56 -4.24
225.06 5.60 135.17 -4.57
225.09 6.76 128.39 -4.65
225.12 7.67 132.61 -3.22
225.15 8.24 131.67 -1.47
225.18 9.64 129.44 -.95
225.21 9.34 129.17 -1.36
226 8.64 123.72 -2.07
226.03 7.97 133.56 -1.52
226.06 7.00 144.33 -2.35
226.09 7.72 131.78 -2.17
226.12 10.02 129.33 -1.40
226.15 10.79 144.11 -.57
226.18 9.98 156.22 -.22
226.21 6.94 159.67 -.86
227 5.00 145.17 -1.74
227.03 5.66 118.72 -4.77
227.06 7.49 110.11 -5.97
227.09 9.53 91.39 -7.01
227.12 9.77 89.22 -5.07
227.15 9.05 101.94 -1.67
227.18 8.91 107.11 -.34
227.21 8.52 108.89 -1.01
228 8.30 111.72 -2.74
228.03 8.98 105.39 -4.81
228.06 10.82 116.39 -5.21
228.09 10.45 122.56 -5.77
228.12 8.40 125.00 -3.54
228.15 7.69 138.94 -2.07
228.18 6.93 141.72 -2.16
228.21 5.26 130.06 -2.59
229 5.50 136.67 -3.41
229.03 9.44 115.94 -6.43
229.06 12.28 113.78 -7.64
229.09 9.67 120.28 -5.22
229.12 8.06 131.39 -2.82
229.15 10.52 145.72 -1.93
229.18 6.15 195.94 -3.68
229.21 6.69 168.78 -3.82
230 9.27 164.00 -3.77
230.03 8.79 176.89 -4.17
230.06 8.99 198.89 -4.54
230.09 6.39 209.39 -4.93
230.12 4.22 194.50 -4.72
230.15 3.49 188.28 -4.06
230.18 1.93 207.56 -3.93
230.21 1.83 250.00 -3.91
231 1.51 185.39 -4.67
231.03 2.84 151.94 -5.19
231.06 3.85 122.17 -4.87
231.09 3.75 135.50 -4.93
231.12 3.61 133.00 -5.20
231.15 3.61 133.00 -5.20
231.18 3.66 132.61 -5.21
231.21 4.85 129.06 -6.01
232 6.23 130.11 -6.38
232.03 8.93 130.78 -5.57
232.06 10.76 137.67 -3.96
232.09 12.66 147.11 -3.44
232.12 13.61 150.17 -2.99
232.15 10.90 164.44 -2.03
232.18 9.90 178.72 -1.78
232.21 8.98 174.44 -1.63
233 7.16 171.67 -1.68
233.03 7.20 177.11 -1.52
233.06 6.38 175.00 -1.80
233.09 5.97 191.11 -2.11
233.12 6.40 205.94 -2.13
233.15 8.00 207.39 -2.56
233.18 6.66 209.33 -3.37
233.21 5.47 197.06 -3.11
234 4.69 212.56 -3.76
234.03 3.95 200.94 -4.07
234.06 3.63 157.78 -4.67
234.09 4.03 159.39 -4.32
234.12 4.98 151.22 -3.92
234.15 5.58 150.72 -3.46
234.18 5.00 139.44 -3.33
234.21 4.98 106.06 -4.74
235 7.37 94.67 -7.66
235.03 10.14 106.00 -5.44
235.06 11.45 122.33 -4.27
235.09 13.23 110.83 -5.71
235.12 9.74 129.78 -3.70
235.15 5.12 170.61 -3.14
