  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  169.708   654.0   654.0   591.6   -4.7  -67.1 -272.7  205.7
  169.750   633.4   633.4   575.4   -8.3  -66.3 -274.3  208.0
  169.792   509.6   509.6   462.4  -18.9  -66.1 -273.1  207.0
  169.833   520.2   520.2   474.8  -12.3  -57.7 -274.4  216.7
  169.875   500.6   500.6   458.4  -20.7  -62.9 -276.0  213.1
  169.917   432.4   432.4   398.6  -26.0  -59.8 -273.7  213.9
  169.958   367.4   367.4   341.4  -31.2  -57.2 -269.3  212.1
  170.000   305.2   305.2   286.2  -34.5  -53.5 -265.3  211.8
  170.042   112.2   112.2   238.2  -34.5   91.5 -261.4  352.9
  170.083   187.2   187.2   198.8  -43.0  -31.4 -254.4  223.1
  170.125    28.6    28.6   170.0 -170.9  -29.5 -251.6  222.1
  170.167    27.4    27.4   155.8  -31.0   97.4 -249.1  346.5
  170.208   143.6   143.6   154.6  -29.1  -18.1 -246.6  228.5
  170.250   183.6   183.6   167.4  -27.8  -44.0 -244.6  200.6
  170.292   213.6   213.6   194.0  -32.5  -52.1 -244.0  192.0
  170.333   256.4   256.4   232.4  -49.7  -73.7 -245.0  171.3
  170.375   313.0   313.0   287.6  -54.0  -79.4 -248.8  169.3
  170.417   375.0   375.0   347.8  -24.3  -51.5 -251.5  200.0
  170.458   441.6   441.6   398.6  -14.1  -57.1 -255.4  198.3
  170.500   506.4   506.4   452.6  -13.5  -67.3 -259.9  192.7
  170.542   565.4   565.4   504.2  -15.3  -76.5 -264.3  187.7
  170.583   613.2   613.2   547.6  -18.4  -84.0 -269.2  185.3
  170.625   648.4   648.4   580.4  -16.6  -84.6 -272.8  188.2
  170.667   657.8   657.8   587.0  -11.8  -82.6 -276.7  194.1
  170.708   648.8   648.8   580.2   -8.9  -77.5 -278.8  201.3
  170.750   644.6   644.6   577.6   -5.3  -72.3 -279.7  207.4
  170.792   479.4   479.4   438.8  -16.1  -56.7 -279.6  222.9
  170.833   553.8   553.8   506.0   -3.9  -51.7 -280.9  229.2
  170.875   464.2   464.2   427.8  -16.4  -52.8 -278.8  226.0
  170.917   401.0   401.0   370.6  -22.6  -53.0 -277.2  224.2
  170.958   265.2   265.2   251.4  -16.0  -29.8 -273.2  243.4
  171.000   199.8   199.8   193.0   -5.8  -12.6 -269.3  256.7
  171.042   161.0   161.0   183.2  -11.4   10.8 -265.4  276.2
  171.083   142.0   142.0   153.8  -18.1   -6.3 -259.0  252.6
  171.125   106.2   106.2   182.6  -81.7   -5.3 -258.4  253.1
  171.167   105.2   105.2   105.6   -5.4   -5.0 -259.1  254.1
  171.208   101.6   101.6    96.8   -7.7  -12.5 -257.1  244.6
  171.250   122.8   122.8   117.6  -10.2  -15.4 -256.3  240.9
  171.292   128.0   128.0   120.2  -32.5  -40.3 -253.8  213.5
  171.333   300.0   300.0   274.4  -57.6  -83.2 -253.1  170.0
  171.375   254.8   254.8   230.8  -85.7 -109.7 -254.5  144.8
  171.417   344.2   344.2   316.0 -154.8 -183.0 -255.3   72.2
  171.458   442.2   442.2   396.8 -216.8 -262.2 -258.0   -4.2
  171.500   495.4   495.4   439.4 -229.0 -285.0 -260.9  -24.1
  171.542   563.2   563.2   498.4 -251.2 -316.0 -264.7  -51.3
  171.583   611.8   611.8   542.0 -215.5 -285.3 -268.0  -17.3
  171.625   649.2   649.2   578.0 -163.2 -234.4 -271.2   36.8
  171.667   725.6   725.6   646.2  -64.2 -143.6 -274.5  130.8
  171.708   665.4   665.4   588.0  -31.7 -109.1 -276.4  167.3
  171.750   661.6   661.6   584.0    1.7  -75.9 -278.8  202.9
  171.792   624.6   624.6   553.4    7.3  -63.9 -280.2  216.3
  171.833   590.8   590.8   525.8    5.0  -60.0 -281.3  221.3
  171.875   416.0   416.0   382.0   -8.4  -42.4 -281.0  238.5
  171.917   430.2   430.2   391.4  -15.4  -54.2 -280.7  226.5
  171.958   357.4   357.4   330.6  -26.5  -53.3 -283.2  229.8
  172.000   337.0   337.0   318.4   -3.4  -22.0 -278.4  256.4
  172.042   151.6   151.6   194.4  -28.0   14.8 -268.9  283.7
  172.083   191.0   191.0   204.2  -50.8  -37.6 -259.9  222.2
  172.125    92.8    92.8   141.4  -66.3  -17.7 -254.4  236.7
  172.167    86.6    86.6   135.8  -24.0   25.2 -252.7  278.0
  172.208   136.2   136.2   159.6  -44.8  -21.4 -251.6  230.2
  172.250   142.2   142.2   134.8  -29.8  -37.2 -247.0  209.8
  172.292   128.8   128.8   121.6   -9.9  -17.1 -252.9  235.8
  172.333   177.2   177.2   164.2   -9.2  -22.2 -251.6  229.5
  172.375   315.4   315.4   289.0    2.5  -23.9 -254.9  231.1
  172.417   422.0   422.0   388.4  -14.8  -48.4 -253.4  205.0
  172.458   424.4   424.4   381.4  -17.6  -60.6 -249.7  189.1
  172.500   510.0   510.0   453.2   -7.8  -64.6 -251.2  186.6
  172.542   567.4   567.4   502.6   -1.9  -66.7 -253.9  187.2
  172.583   615.0   615.0   545.0    1.7  -68.3 -256.0  187.7
  172.625   648.4   648.4   575.8    1.5  -71.1 -257.2  186.1
  172.667   666.0   666.0   589.0    2.1  -74.9 -257.4  182.5
  172.708   666.2   666.2   589.8    1.4  -75.0 -258.9  183.9
  172.750   649.0   649.0   575.8   -1.5  -74.7 -260.4  185.7
  172.792   614.6   614.6   548.4   -5.7  -71.9 -260.2  188.3
  172.833   566.4   566.4   508.0  -12.1  -70.5 -259.7  189.2
  172.875   507.4   507.4   458.2  -19.9  -69.1 -259.0  189.9
  172.917   442.0   442.0   402.8  -26.5  -65.7 -258.1  192.4
  172.958   316.4   316.4   291.2  -36.4  -61.6 -253.4  191.9
  173.000   255.2   255.2   239.0  -34.4  -50.6 -247.1  196.5
  173.042   123.0   123.0   234.8  -34.7   77.1 -243.5  320.5
  173.083   137.0   137.0   142.0  -25.2  -20.2 -246.0  225.7
  173.125   101.6   101.6   141.2  -58.1  -18.5 -251.8  233.3
  173.167    85.0    85.0    85.6   -8.6   -8.0 -255.6  247.6
  173.208   114.4   114.4   113.6  -21.4  -22.2 -254.2  231.9
  173.250   169.0   169.0   155.6  -49.1  -62.5 -245.1  182.6
  173.292   217.4   217.4   198.4  -40.7  -59.7 -240.0  180.2
  173.333   268.0   268.0   245.4  -38.2  -60.8 -241.0  180.2
  173.375   278.2   278.2   258.4  -35.9  -55.7 -238.7  183.0
  173.417   373.0   373.0   348.8  -23.6  -47.8 -237.1  189.4
  173.458   420.8   420.8   384.8  -23.9  -59.9 -239.9  180.0
  173.500   507.6   507.6   459.2  -24.3  -72.7 -243.9  171.2
  173.542   572.8   572.8   516.8  -22.9  -78.9 -248.7  169.8
