"JD" "wind mean" "wind max" "t air"
310.18 2.678 3.922 -14.928
310.21 2.266 3.837 -16.279
311 1.237 1.513 -16.209
311.03 1.577 1.807 -18.437
311.06 2.164 2.753 -20.081
311.09 3.608 4.522 -22.004
311.12 4.738 5.231 -20.836
311.15 5.34 5.976 -22.565
311.18 6.884 8.14 -28.57
311.21 8.28 9.32 -29.662
312 8.63 9.24 -29.804
312.03 9.67 10.43 -27.649
312.06 10.13 10.62 -24.931
312.09 10.4 11.01 -22.944
312.12 10.36 11.05 -19.533
312.15 10.39 11.43 -18.127
312.18 12.41 13.41 -16.965
312.21 12.57 13.72 -16.182
313 12.86 14.84 -11.796
313.03 12.74 14.98 -12.842
313.06 12.23 13.96 -14.495
313.09 9.05 10.43 -19.2
313.12 12.13 13.04 -17.762
313.15 10.85 12.71 -13.849
313.18 8.44 8.97 -15.758
313.21 7.19 8.37 -17.122
314 5.89 6.884 -19.701
314.03 4.092 5.499 -18.74
314.06 3.864 4.814 -22.468
314.09 5.238 5.794 -19.706
314.12 6.411 7.63 -20.684
314.15 8.05 8.73 -26.832
314.18 10.09 10.78 -27.451
314.21 11.47 12.36 -30.652
315 13.32 14.19 -33.377
315.03 14.57 15.93 -34.954
315.06 14.38 15.36 -33.248
315.09 15.11 16.09 -32.859
315.12 12.64 13.72 -31.108
315.15 11.04 12.2 -31.862
315.18 7.81 9.54 -29.296
315.21 6.296 7.12 -23.056
316 6.553 6.996 -22.687
316.03 7.04 8.4 -22.573
316.06 8.73 9.17 -22.556
316.09 8.61 9.94 -24.422
316.12 9.88 10.54 -25.28
316.15 10.05 10.88 -26.364
316.18 10.11 11.26 -25.799
316.21 9.45 9.99 -27.295
317 9.54 10.3 -30.067
317.03 10.07 11.66 -31.582
317.06 9.88 11 -30.824
317.09 9.9 10.35 -30.495
317.12 10.46 10.97 -29.949
317.15 10.98 11.35 -29.949
317.18 11.54 12.3 -30.149
317.21 11.55 11.87 -29.588
318 10.13 10.84 -30.322
318.03 10.53 11.11 -30.137
318.06 11.03 11.5 -30.174
318.09 11.16 11.74 -30.149
318.12 12.1 12.47 -30.222
318.15 11.8 12.2 -30.064
318.18 13.26 14.63 -29.093
318.21 13.8 14.62 -28.601
319 13.69 14.24 -26.24
319.03 12.38 13.58 -24.526
319.06 13.68 14.27 -24.692
319.09 14.63 15.32 -24.567
319.12 15 15.84 -24.284
319.15 14.58 15.25 -22.748
319.18 14.45 15.38 -21.344
319.21 13.96 15.4 -21.111
320 14.26 15.22 -20.521
320.03 13.67 14.66 -19.615
320.06 13.99 14.71 -18.046
320.09 12.35 13.68 -18.091
320.12 11.28 12.24 -17.2
320.15 10.67 11.31 -16.828
320.18 10.89 11.53 -16.144
320.21 10.02 10.93 -15.648
321 9.09 9.73 -15.482
321.03 7.99 9.04 -15.554
321.06 7.33 8.54 -15.648
321.09 8.22 8.8 -17.593
321.12 8.25 8.54 -19.495
321.15 9.04 9.59 -19.944
321.18 9.58 10.23 -20.808
321.21 9.48 10.07 -20.781
322 10.06 10.8 -20.437
322.03 9.11 9.74 -20.104
322.06 9.17 9.77 -19.093
322.09 9.75 11.16 -18.695
322.12 11.57 12.67 -19.739
322.15 11.91 13.29 -20.151
322.18 13.43 14.45 -20.965
322.21 13.84 14.48 -20.498
323 13.87 15.04 -20.517
323.03 14.06 15.05 -20.919
323.06 13.79 14.46 -20.887
323.09 12.4 13.6 -20.577
323.12 12.3 13.7 -18.412
323.15 11.17 11.88 -14.362
323.18 11 12.37 -12.823
323.21 8.5 9.51 -13.731
324 7.23 8.42 -14.142
